U.S. Regional Level,Code,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,113980,13980,"Blacksburg-Christiansburg-Radford, VA",42,36,55,58,65,69,71,66,63,51,61,53,63,87,95,84,1019
Metropolitan Statistical Area,143900,43900,"Spartanburg, SC",59,73,86,99,76,76,83,50,43,56,47,53,44,43,59,60,1007
Metropolitan Statistical Area,141500,41500,"Salinas, CA",54,57,68,51,59,64,55,54,47,45,57,73,55,89,90,74,992
Metropolitan Statistical Area,126180,26180,"Honolulu, HI",52,71,57,50,47,32,54,46,56,43,77,63,73,88,93,88,990
Metropolitan Statistical Area,144300,44300,"State College, PA",56,72,64,60,55,42,43,51,47,36,66,64,73,93,94,72,988
Metropolitan Statistical Area,130700,30700,"Lincoln, NE",83,64,62,46,52,51,51,64,51,50,59,50,70,84,77,72,986
Metropolitan Statistical Area,112540,12540,"Bakersfield-Delano, CA",66,68,56,61,74,48,43,60,58,55,51,70,61,66,56,85,978
Metropolitan Statistical Area,126980,26980,"Iowa City, IA",42,70,53,47,38,34,52,42,53,51,85,58,79,65,90,85,944
Metropolitan Statistical Area,121300,21300,"Elmira, NY",46,78,76,84,75,51,37,44,28,29,48,60,53,69,81,75,934
Metropolitan Statistical Area,114020,14020,"Bloomington, IN",21,27,29,40,26,27,29,24,22,38,91,77,112,110,131,129,933
Metropolitan Statistical Area,149660,49660,"Youngstown-Warren-Boardman, OH-PA",67,62,80,51,57,43,61,46,55,54,71,57,47,50,52,66,919
Metropolitan Statistical Area,142540,42540,"Scranton--Wilkes-Barre, PA",80,67,68,60,69,51,51,58,60,54,48,50,48,54,49,42,908
Metropolitan Statistical Area,140220,40220,"Roanoke, VA",60,54,46,40,40,48,51,46,40,36,50,67,67,56,95,98,894
Metropolitan Statistical Area,144700,44700,"Stockton, CA",56,51,58,52,40,36,46,41,32,34,54,62,60,80,84,94,880
Metropolitan Statistical Area,134940,34940,"Naples-Marco Island, FL",42,32,43,59,32,43,69,53,28,39,46,61,65,86,88,81,867
Metropolitan Statistical Area,111700,11700,"Asheville, NC",59,63,70,53,56,60,53,38,31,49,38,42,52,67,71,57,859
Metropolitan Statistical Area,130860,30860,"Logan, UT-ID",48,42,32,35,34,45,46,34,34,64,68,55,67,57,78,89,828
Metropolitan Statistical Area,119660,19660,"Deltona-Daytona Beach-Ormond Beach, FL",59,52,51,51,44,37,42,44,36,44,49,46,60,65,76,62,818
Metropolitan Statistical Area,118020,18020,"Columbus, IN",60,51,47,52,42,39,37,33,30,38,48,45,43,64,96,91,816
Metropolitan Statistical Area,129180,29180,"Lafayette, LA",56,56,51,53,46,41,40,43,39,44,38,54,59,59,74,62,815
Metropolitan Statistical Area,129020,29020,"Kokomo, IN",44,45,46,57,59,50,55,66,62,65,55,39,42,58,34,36,813
Metropolitan Statistical Area,117780,17780,"College Station-Bryan, TX",44,46,63,51,46,37,48,53,29,33,50,45,65,60,61,67,798
Metropolitan Statistical Area,130780,30780,"Little Rock-North Little Rock-Conway, AR",75,73,48,37,37,49,46,36,30,36,58,48,54,52,56,61,796
Metropolitan Statistical Area,145220,45220,"Tallahassee, FL",31,26,50,42,40,46,37,34,25,36,72,55,72,96,65,52,779
Metropolitan Statistical Area,146700,46700,"Vallejo-Fairfield, CA",37,48,38,42,45,38,44,38,45,45,60,50,62,63,56,67,777
Metropolitan Statistical Area,115980,15980,"Cape Coral-Fort Myers, FL",42,49,39,46,50,39,47,26,39,33,44,37,49,76,65,85,766
Metropolitan Statistical Area,122020,22020,"Fargo, ND-MN",47,40,30,21,17,30,31,39,43,35,55,54,53,84,107,75,761
Metropolitan Statistical Area,140980,40980,"Saginaw-Saginaw Township North, MI",40,26,62,64,55,33,41,35,27,34,49,55,55,58,64,60,758
Metropolitan Statistical Area,148900,48900,"Wilmington, NC",33,56,44,46,44,23,33,41,32,52,38,49,56,63,81,54,745
